Parent,,Child
106,-> ,201
601,->,501
103,->,501
301,->,601
102,-> ,1001
1201,-> ,1003
1001,-> ,1201
803,-> ,1201
601,->,1202
1201,->,1303
901,-> ,1004
101,-> ,1001
201,-> ,803
803,-> ,1101
803,-> ,1102
803,-> ,1103
