Parent,,Child
701,-> ,101
701,-> ,102
102,-> ,1001
1201,-> ,1003
801,->,1003
802,->,1004
201,-> ,1005
1001,-> ,1201
1005,-> ,1201
1201,->,1303
801,->,1303
802,->,1307
106,-> ,201
201,-> ,802
202,-> ,802
203,-> ,802
701,->,1305
106,-> ,202
201,-> ,804
201,-> ,803
802,-> ,1301
804,->,1301
803,->,1302
804,->,1302
803,-> ,1101
804,-> ,1101
202,-> ,1101
1302,-> ,1102
1304,->,1102
202,-> ,1102
1302,-> ,1103
803,-> ,1103
804,-> ,1103
1301,-> ,1103
1305,->,1103
