Parent,,Child
1001,->,1201
401,->,502
402,->,502
502,->,804
601,->,501
301,->,601
201,-> ,802
202,-> ,802
203,-> ,802
1201,-> ,1003
803,-> ,1201
601,->,1202
501,-> ,1203
1201,->,1303
802,->,1307
201,-> ,1304
106,-> ,201
106,-> ,202
201,-> ,803
201,-> ,804
803,-> ,202
803,->,1302
804,->,1302
202,-> ,1101
804,-> ,1101
202,-> ,1102
1302,-> ,1102
1304,->,1102
1305,->,1103
1302,-> ,1103
